,GFC Proxy-Monthly
2018-01-31,0.06440613100937878
2018-02-28,-0.09635038001951242
2018-03-31,-0.23222984082060993
2018-04-30,-0.1856637122397284
2018-05-31,-0.3037010942870988
2018-06-30,-0.3980115723058129
2018-07-31,-0.31402378819237114
2018-08-31,-0.37527483936517153
2018-09-30,-0.3868800729982962
2018-10-31,-0.7153294760600957
2018-11-30,-0.7186086601811492
2018-12-31,-0.985293224684662
2019-01-31,-0.7146213153233855
2019-02-28,-0.6452587438373458
2019-03-31,-0.6369426038213586
2019-04-30,-0.5333537639956916
2019-05-31,-0.7375590019336642
2019-06-30,-0.570711032686454
2019-07-31,-0.5967188271002128
2019-08-31,-0.8173080725738131
2019-09-30,-0.7319931782656082
2019-10-31,-0.6786431312508673
2019-11-30,-0.6322076581795624
2019-12-31,-0.5048782056329898
2020-01-31,-0.6035747259258913
2020-02-29,-1.0514816120373025
2020-03-31,-1.942596522223365
2020-04-30,-1.553143080931062
2020-05-31,-1.3947692553016109
2020-06-30,-1.299448430639693
2020-07-31,-1.2275991173944072
2020-08-31,-1.1440271973757647
2020-09-30,-1.2872445297265402
2020-10-31,-1.4488884039049081
2020-11-30,-0.8840420600823853
2020-12-31,-0.7107592271412134
2021-01-31,-0.7333005107875538
2021-02-28,-0.6517937345245376
2021-03-31,-0.5303171487075852
2021-04-30,-0.45475873874502754
2021-05-31,-0.3775076086879342
2021-06-30,-0.35698896329454494
2021-07-31,-0.35772844651373226
2021-08-31,-0.22025337281470075
2021-09-30,-0.33093618356047433
2021-10-31,-0.23485999459739326
2021-11-30,-0.36561485721971504
2021-12-31,-0.24935778635801925
2022-01-31,-0.38911659550008504
2022-02-28,-0.6366720514298152
2022-03-31,-0.5492139854071876
2022-04-30,-0.712707502287319
2022-05-31,-0.741889539014457
2022-06-30,-1.084548895277738
2022-07-31,-0.896198618013901
2022-08-31,-0.9568245546120812
2022-09-30,-1.3701069614414796
2022-10-31,-1.1503539361496553
2022-11-30,-0.8957600603866237
2022-12-31,-1.0409818494485594
2023-01-31,-0.7928152692732351
2023-02-28,-0.8254793193648173
2023-03-31,-0.8804361825320591
2023-04-30,-0.826852323543763
2023-05-31,-0.8946781939412299
2023-06-30,-0.7630601530591168
2023-07-31,-0.5946743785127919
2023-08-31,-0.6683162469568997
2023-09-30,-0.825328821376218
2023-10-31,-0.9935878402325169
2023-11-30,-0.7324735630590289
2023-12-31,-0.6102182933316586
2024-01-31,-0.5684385303933016
2024-02-29,-0.5392671609280845
2024-03-31,-0.44487235342447573
2024-04-30,-0.46681376012918774
2024-05-31,-0.4246899859813251
2024-06-30,-0.4767996764864523
2024-07-31,-0.46521251499453703
2024-08-31,-0.5009084515998864
2024-09-30,-0.4477330004352817
2024-10-31,-0.5609364401637202
2024-11-30,-0.5491291258716738
2024-12-31,-0.5272806631032192
2025-01-31,-0.40091565435081766
2025-02-28,-0.4029657604135271
2025-03-31,-0.4939467759343728
2025-04-30,-0.558959505321091
2025-05-31,-0.38860494967181186
2025-06-30,-0.3582515076031502
2025-07-31,-0.28136887967954727
2025-08-31,-0.26664215387936047
2025-09-30,-0.25590365483358274
2025-10-31,-0.11965241055862155
2025-11-30,-0.11227466649692765
2025-12-31,-0.02920132643915791
2026-01-31,0.18203749854612158
2026-02-28,0.22540934173218571
2026-03-31,-0.08016989331570264
2026-04-30,0.14368112601920993
2026-05-31,0.24623953908777482
2026-06-30,0.15876684091040894
2026-07-31,0.14015484704460648
