,GFC Proxy-Daily
2013-08-28,-0.6418031647900483
2013-08-29,-0.6138159519449786
2013-08-30,-0.6343193035670375
2013-09-01,-0.6350744588026358
2013-09-02,-0.585719551868072
2013-09-03,-0.582575488963513
2013-09-04,-0.5783815097576294
2013-09-05,-0.5427356884842183
2013-09-06,-0.5238889750395652
2013-09-08,-0.5251151753946807
2013-09-09,-0.48003096279953655
2013-09-10,-0.4167633513696106
2013-09-11,-0.4062239201639972
2013-09-12,-0.4155954838067666
2013-09-13,-0.41431791121330386
2013-09-15,-0.4149633334332216
2013-09-16,-0.3700082415212279
2013-09-17,-0.37583311072255177
2013-09-18,-0.3517102800821245
2013-09-19,-0.308353136612661
2013-09-20,-0.339508942119412
2013-09-23,-0.3507830163757717
2013-09-24,-0.3482851372261506
2013-09-25,-0.3481061405137699
2013-09-26,-0.35063581079505596
2013-09-27,-0.36702745219816396
2013-09-29,-0.36839005481143194
2013-09-30,-0.4073750737664726
2013-10-01,-0.3628392204498788
2013-10-02,-0.3786282273999067
2013-10-03,-0.38806272097126226
2013-10-04,-0.37180868947265977
2013-10-06,-0.37310357058868304
2013-10-07,-0.38810852296685144
2013-10-08,-0.40509672102123295
2013-10-09,-0.412411632884411
2013-10-10,-0.3380157188090167
2013-10-11,-0.31853202074269554
2013-10-14,-0.31359085483888216
2013-10-15,-0.2884574163933732
2013-10-16,-0.2729699187438311
2013-10-17,-0.26758890258410023
2013-10-18,-0.22867364859472383
2013-10-20,-0.22928565359654438
2013-10-21,-0.2034755874020265
2013-10-22,-0.19148240499861754
2013-10-23,-0.23244482231442942
2013-10-24,-0.21150957369157541
2013-10-25,-0.22259020454283315
2013-10-27,-0.2240073764710197
2013-10-28,-0.22466284543389725
2013-10-29,-0.21372402614459876
2013-10-30,-0.21240565727029484
2013-10-31,-0.22184057194060514
2013-11-01,-0.22991148262244598
2013-11-03,-0.23107882157509083
2013-11-04,-0.21751039425238644
2013-11-05,-0.23362089483401569
2013-11-06,-0.21081928769639294
